Run,Sample,BioProject
SRR1972972,SRS803915,PRJNA257197
SRR1972973,SRS804037,PRJNA257197
SRR1972976,SRS908478,PRJNA257197
SRR1972975,SRS908483,PRJNA257197
SRR1972974,SRS908484,PRJNA257197
SRR1972969,SRS803820,PRJNA257197
SRR1972970,SRS803841,PRJNA257197
SRR1972967,SRS803858,PRJNA257197
SRR1972971,SRS803941,PRJNA257197
SRR1972968,SRS803969,PRJNA257197
SRR1972964,SRS803856,PRJNA257197
SRR1972962,SRS803890,PRJNA257197
SRR1972965,SRS803961,PRJNA257197
SRR1972963,SRS803992,PRJNA257197
SRR1972966,SRS804014,PRJNA257197
SRR1972958,SRS803827,PRJNA257197
SRR1972960,SRS803846,PRJNA257197
SRR1972961,SRS803922,PRJNA257197
SRR1972957,SRS803978,PRJNA257197
SRR1972959,SRS908485,PRJNA257197
SRR1972956,SRS803799,PRJNA257197
SRR1972955,SRS803803,PRJNA257197
SRR1972954,SRS804039,PRJNA257197
SRR1972953,SRS908486,PRJNA257197
SRR1972952,SRS908487,PRJNA257197
SRR1972948,SRS803773,PRJNA257197
SRR1972949,SRS803853,PRJNA257197
SRR1972951,SRS908488,PRJNA257197
SRR1972950,SRS908489,PRJNA257197
SRR1972947,SRS908490,PRJNA257197
SRR1972943,SRS803840,PRJNA257197
SRR1972946,SRS908491,PRJNA257197
SRR1972945,SRS908492,PRJNA257197
SRR1972944,SRS908493,PRJNA257197
SRR1972942,SRS908494,PRJNA257197
SRR1972941,SRS908495,PRJNA257197
SRR1972940,SRS908496,PRJNA257197
SRR1972939,SRS908497,PRJNA257197
SRR1972938,SRS908498,PRJNA257197
SRR1972937,SRS908499,PRJNA257197
SRR1972936,SRS908500,PRJNA257197
SRR1972935,SRS908501,PRJNA257197
SRR1972934,SRS908502,PRJNA257197
SRR1972933,SRS908503,PRJNA257197
SRR1972932,SRS908504,PRJNA257197
SRR1972931,SRS908505,PRJNA257197
SRR1972930,SRS908506,PRJNA257197
SRR1972929,SRS908507,PRJNA257197
SRR1972928,SRS908508,PRJNA257197
SRR1972927,SRS908509,PRJNA257197
SRR1972926,SRS908510,PRJNA257197
SRR1972925,SRS908511,PRJNA257197
SRR1972924,SRS908512,PRJNA257197
SRR1972923,SRS908513,PRJNA257197
SRR1972922,SRS908514,PRJNA257197
SRR1972921,SRS908515,PRJNA257197
SRR1972920,SRS908516,PRJNA257197
SRR1972919,SRS908517,PRJNA257197
